architecture,family,round_comm_mib,sync_events,dependency_score,model_surgery_score,notes,latency_20ms_s,complexity_score,complexity_vs_ours
本文方法,ours,78.24485778808594,60.0,1,1,联邦聚合，仅共享参数上传；个性化头留在本地,1.2,2.3858424820316086,1.0
同态加密联邦学习,he,938.9382934570312,60.0,5,2,采用保守 12x 密文膨胀代理系数，突出密文通信与聚合开销,1.2,24.82010978437931,10.403079822455137
安全多方计算联邦学习,mpc,469.4691467285156,180.0,5,3,采用 3 方秘密分享的有效 6x 通信代理，并加入更多交互阶段,3.6,13.295054892189656,5.572478062704525
可信执行环境联邦学习,tee,82.15710067749023,60.0,4,2,通信接近普通联邦学习，但依赖可信硬件、远程证明与平台适配,1.2,2.6071346061331897,1.092752193729548
拆分学习,split,15.449346823770494,588.5901639344263,3,5,按 64 维切分点估计激活与梯度传输，批次级同步频繁,11.771803278688527,3.582950819672131,1.501754976137885
